PeakID (cmd=annotatePeaks.pl /home/merk/data/ChIP_DAP/peaks/master_peaks_overlapped.bed /home/merk/data/genomes/ncbi-genomes-2022-03-15/TAIR10.fasta -gtf /home/merk/data/genomes/TAIR10_annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
35S_BBM_GFP_ChIP_peak_16713	chr5	5560237	5560237	+	111.185	NA	TTS (AT5G16900.1)	-TTS (AT5G16900.1)	-1442	AT5G16910.1	AT5G16910	AT5G16910						NA
35S_BBM_GFP_ChIP_peak_14097	chr4	12375117	12375117	+	110.823	NA	Intergenic	Intergenic	-1077	AT4G23750.2	AT4G23750	AT4G23750						NA
35S_BBM_GFP_ChIP_peak_16685	chr5	5414076	5414076	+	110.615	NA	Intergenic	Intergenic	-2652	AT5G16560.1	AT5G16560	AT5G16560						NA
35S_BBM_GFP_ChIP_peak_20105	chr5	26663341	26663341	+	110.478	NA	promoter-TSS (AT5G66780.1)	-promoter-TSS (AT5G66780.1)	-232	AT5G66780.1	AT5G66780	AT5G66780						NA
35S_BBM_GFP_ChIP_peak_15704	chr5	743309	743309	+	110.427	NA	Intergenic	Intergenic	-2335	AT5G03150.1	AT5G03150	AT5G03150						NA
35S_BBM_GFP_ChIP_peak_18646	chr5	20084354	20084354	+	110.309	NA	Intergenic	Intergenic	3740	AT5G49510.2	AT5G49510	AT5G49510						NA
35S_BBM_GFP_ChIP_peak_13701	chr4	10231054	10231054	+	110.262	NA	promoter-TSS (AT4G18570.1)	-promoter-TSS (AT4G18570.1)	-164	AT4G18570.1	AT4G18570	AT4G18570						NA
35S_BBM_GFP_ChIP_peak_18532	chr5	19505697	19505697	+	110.083	NA	Intergenic	Intergenic	-1340	AT5G48110.1	AT5G48110	AT5G48110						NA
35S_BBM_GFP_ChIP_peak_12614	chr4	525401	525401	+	109.914	NA	Intergenic	Intergenic	-1185	AT4G01250.1	AT4G01250	AT4G01250						NA
35S_BBM_GFP_ChIP_peak_10171	chr3	7658068	7658068	+	109.754	NA	Intergenic	Intergenic	-2057	AT3G21720.1	AT3G21720	AT3G21720						NA
35S_BBM_GFP_ChIP_peak_12370	chr3	22886958	22886958	+	109.688	NA	promoter-TSS (AT3G61826.1)	-promoter-TSS (AT3G61826.1)	69	AT3G61827.1	AT3G61827	AT3G61827						NA
35S_BBM_GFP_ChIP_peak_11984	chr3	20904294	20904294	+	109.575	NA	Intergenic	Intergenic	-1186	AT3G56380.1	AT3G56380	AT3G56380						NA
35S_BBM_GFP_ChIP_peak_15933	chr5	1747931	1747931	+	109.444	NA	exon (AT5G05810.1, exon 1 of 1)	-exon (AT5G05810.1, exon 1 of 1)	1101	AT5G05810.1	AT5G05810	AT5G05810						NA
35S_BBM_GFP_ChIP_peak_9698	chr3	5132900	5132900	+	109.065	NA	promoter-TSS (AT3G15220.1)	-promoter-TSS (AT3G15220.1)	-594	AT3G15220.1	AT3G15220	AT3G15220						NA
35S_BBM_GFP_ChIP_peak_9399	chr3	3741688	3741688	+	108.688	NA	promoter-TSS (AT3G11850.1)	-promoter-TSS (AT3G11850.1)	26	AT3G11850.2	AT3G11850	AT3G11850						NA
35S_BBM_GFP_ChIP_peak_11229	chr3	17306893	17306893	+	108.688	NA	promoter-TSS (AT3G46970.1)	-promoter-TSS (AT3G46970.1)	-447	AT3G46970.1	AT3G46970	AT3G46970						NA
35S_BBM_GFP_ChIP_peak_15616	chr5	430708	430708	+	108.658	NA	promoter-TSS (AT5G02180.1)	-promoter-TSS (AT5G02180.1)	-169	AT5G02180.1	AT5G02180	AT5G02180						NA
35S_BBM_GFP_ChIP_peak_19187	chr5	22887573	22887573	+	108.445	NA	Intergenic	Intergenic	-1559	AT5G56530.2	AT5G56530	AT5G56530						NA
35S_BBM_GFP_ChIP_peak_12158	chr3	21761882	21761882	+	108.302	NA	Intergenic	Intergenic	-1940	AT3G58850.1	AT3G58850	AT3G58850						NA
35S_BBM_GFP_ChIP_peak_6172	chr2	7943896	7943896	+	108.096	NA	TTS (AT2G18260.1)	-TTS (AT2G18260.1)	1743	AT2G18260.1	AT2G18260	AT2G18260						NA
35S_BBM_GFP_ChIP_peak_5827	chr2	4142632	4142632	+	107.978	NA	promoter-TSS (AT2G10606.1)	-promoter-TSS (AT2G10606.1)	-159	AT2G10606.1	AT2G10606	AT2G10606						NA
35S_BBM_GFP_ChIP_peak_16474	chr5	4393175	4393175	+	107.797	NA	promoter-TSS (AT5G13630.1)	-promoter-TSS (AT5G13630.1)	113	AT5G13640.1	AT5G13640	AT5G13640						NA
35S_BBM_GFP_ChIP_peak_17321	chr5	8732057	8732057	+	107.753	NA	Intergenic	Intergenic	-4017	AT5G25220.1	AT5G25220	AT5G25220						NA
35S_BBM_GFP_ChIP_peak_12626	chr4	619603	619603	+	107.733	NA	Intergenic	Intergenic	-1156	AT4G01460.1	AT4G01460	AT4G01460						NA
35S_BBM_GFP_ChIP_peak_15793	chr5	1089738	1089738	+	107.733	NA	exon (AT5G04040.1, exon 1 of 4)	-exon (AT5G04040.1, exon 1 of 4)	396	AT5G04040.1	AT5G04040	AT5G04040						NA
35S_BBM_GFP_ChIP_peak_13867	chr4	11169886	11169886	+	107.564	NA	promoter-TSS (AT4G20850.1)	-promoter-TSS (AT4G20850.1)	3	AT4G20850.1	AT4G20850	AT4G20850						NA
35S_BBM_GFP_ChIP_peak_13398	chr4	8440872	8440872	+	107.535	NA	TTS (AT4G14723.1)	-TTS (AT4G14723.1)	973	AT4G14723.1	AT4G14723	AT4G14723						NA
35S_BBM_GFP_ChIP_peak_7710	chr2	15851194	15851194	+	107.353	NA	promoter-TSS (AT2G37840.1)	-promoter-TSS (AT2G37840.1)	-609	AT2G37840.1	AT2G37840	AT2G37840						NA
35S_BBM_GFP_ChIP_peak_19342	chr5	23475631	23475631	+	107.287	NA	Intergenic	Intergenic	-1527	AT5G57990.1	AT5G57990	AT5G57990						NA
35S_BBM_GFP_ChIP_peak_4872	chr1	28296905	28296905	+	107.218	NA	promoter-TSS (AT1G75400.1)	-promoter-TSS (AT1G75400.1)	-14	AT1G75400.1	AT1G75400	AT1G75400						NA
35S_BBM_GFP_ChIP_peak_10595	chr3	9867632	9867632	+	106.969	NA	promoter-TSS (AT3G26810.1)	-promoter-TSS (AT3G26810.1)	-213	AT3G26810.1	AT3G26810	AT3G26810						NA
35S_BBM_GFP_ChIP_peak_16557	chr5	4768503	4768503	+	106.867	NA	promoter-TSS (AT5G14760.1)	-promoter-TSS (AT5G14760.1)	35	AT5G14760.1	AT5G14760	AT5G14760						NA
35S_BBM_GFP_ChIP_peak_17178	chr5	8005245	8005245	+	106.861	NA	promoter-TSS (AT5G23730.1)	-promoter-TSS (AT5G23730.1)	11	AT5G23730.1	AT5G23730	AT5G23730						NA
35S_BBM_GFP_ChIP_peak_20174	chr5	26894002	26894002	+	106.846	NA	promoter-TSS (AT5G67400.1)	-promoter-TSS (AT5G67400.1)	-854	AT5G67400.1	AT5G67400	AT5G67400						NA
35S_BBM_GFP_ChIP_peak_84	chr1	292963	292963	+	106.82	NA	promoter-TSS (AT1G01800.1)	-promoter-TSS (AT1G01800.1)	-379	AT1G01800.1	AT1G01800	AT1G01800						NA
35S_BBM_GFP_ChIP_peak_13111	chr4	6569522	6569522	+	106.76	NA	Intergenic	Intergenic	-1893	AT4G10630.1	AT4G10630	AT4G10630						NA
35S_BBM_GFP_ChIP_peak_10751	chr3	10872261	10872261	+	106.591	NA	intron (AT3G28860.1, intron 9 of 9)	-intron (AT3G28860.1, intron 9 of 9)	5245	AT3G28860.1	AT3G28860	AT3G28860						NA
35S_BBM_GFP_ChIP_peak_2530	chr1	12053821	12053821	+	106.488	NA	intron (AT1G33240.1, intron 1 of 2)	-intron (AT1G33240.1, intron 1 of 2)	725	AT1G33240.1	AT1G33240	AT1G33240						NA
35S_BBM_GFP_ChIP_peak_19485	chr5	24185464	24185464	+	106.291	NA	exon (AT5G60050.1, exon 1 of 2)	-exon (AT5G60050.1, exon 1 of 2)	165	AT5G60050.1	AT5G60050	AT5G60050						NA
35S_BBM_GFP_ChIP_peak_9843	chr3	5763460	5763460	+	105.814	NA	TTS (AT3G16870.1)	-TTS (AT3G16870.1)	1194	AT3G16870.1	AT3G16870	AT3G16870						NA
35S_BBM_GFP_ChIP_peak_14462	chr4	14186113	14186113	+	105.618	NA	Intergenic	Intergenic	-6470	AT4G28720.1	AT4G28720	AT4G28720						NA
35S_BBM_GFP_ChIP_peak_5512	chr2	506746	506746	+	105.384	NA	intron (AT2G02070.1, intron 2 of 2)	-intron (AT2G02070.1, intron 2 of 2)	1259	AT2G02070.1	AT2G02070	AT2G02070						NA
35S_BBM_GFP_ChIP_peak_15922	chr5	1712403	1712403	+	105.315	NA	TTS (AT5G05700.1)	-TTS (AT5G05700.1)	3328	AT5G05700.1	AT5G05700	AT5G05700						NA
35S_BBM_GFP_ChIP_peak_12094	chr3	21433960	21433960	+	105.044	NA	intron (AT3G57880.1, intron 1 of 2)	-intron (AT3G57880.1, intron 1 of 2)	640	AT3G57880.1	AT3G57880	AT3G57880						NA
35S_BBM_GFP_ChIP_peak_16160	chr5	2936833	2936833	+	104.913	NA	Intergenic	Intergenic	-1514	AT5G09440.1	AT5G09440	AT5G09440						NA
35S_BBM_GFP_ChIP_peak_13628	chr4	9865271	9865271	+	104.905	NA	promoter-TSS (AT4G17720.1)	-promoter-TSS (AT4G17720.1)	168	AT4G17730.2	AT4G17730	AT4G17730						NA
35S_BBM_GFP_ChIP_peak_10205	chr3	7912416	7912416	+	104.905	NA	promoter-TSS (AT3G22380.1)	-promoter-TSS (AT3G22380.1)	-489	AT3G22380.2	AT3G22380	AT3G22380						NA
35S_BBM_GFP_ChIP_peak_18694	chr5	20406744	20406744	+	104.726	NA	promoter-TSS (AT5G50150.1)	-promoter-TSS (AT5G50150.1)	-13	AT5G50150.1	AT5G50150	AT5G50150						NA
35S_BBM_GFP_ChIP_peak_9387	chr3	3694280	3694280	+	104.528	NA	promoter-TSS (AT3G11690.1)	-promoter-TSS (AT3G11690.1)	-708	AT3G11690.1	AT3G11690	AT3G11690						NA
35S_BBM_GFP_ChIP_peak_11550	chr3	18906324	18906324	+	104.443	NA	Intergenic	Intergenic	-4172	AT3G50850.1	AT3G50850	AT3G50850						NA
35S_BBM_GFP_ChIP_peak_11294	chr3	17635424	17635424	+	104.194	NA	intron (AT3G47800.1, intron 2 of 4)	-intron (AT3G47800.1, intron 2 of 4)	614	AT3G47800.1	AT3G47800	AT3G47800						NA
35S_BBM_GFP_ChIP_peak_18978	chr5	21904356	21904356	+	104.145	NA	promoter-TSS (AT5G53950.1)	-promoter-TSS (AT5G53950.1)	-533	AT5G53950.1	AT5G53950	AT5G53950						NA
35S_BBM_GFP_ChIP_peak_15170	chr4	17350215	17350215	+	104.082	NA	exon (AT4G36830.1, exon 1 of 1)	-exon (AT4G36830.1, exon 1 of 1)	779	AT4G36830.1	AT4G36830	AT4G36830						NA
35S_BBM_GFP_ChIP_peak_13152	chr4	6875041	6875041	+	103.783	NA	Intergenic	Intergenic	-1500	AT4G11300.1	AT4G11300	AT4G11300						NA
35S_BBM_GFP_ChIP_peak_4597	chr1	27094256	27094256	+	103.725	NA	TTS (AT1G71970.1)	-TTS (AT1G71970.1)	1228	AT1G71970.1	AT1G71970	AT1G71970						NA
35S_BBM_GFP_ChIP_peak_17356	chr5	8910073	8910073	+	103.725	NA	promoter-TSS (AT5G25590.1)	-promoter-TSS (AT5G25590.1)	-153	AT5G25590.1	AT5G25590	AT5G25590						NA
35S_BBM_GFP_ChIP_peak_12834	chr4	1890160	1890160	+	103.561	NA	TTS (AT4G03960.1)	-TTS (AT4G03960.1)	687	AT4G03965.1	AT4G03965	AT4G03965						NA
35S_BBM_GFP_ChIP_peak_19468	chr5	24093473	24093473	+	103.533	NA	TTS (AT5G59790.1)	-TTS (AT5G59790.1)	2758	AT5G59790.1	AT5G59790	AT5G59790						NA
35S_BBM_GFP_ChIP_peak_15725	chr5	800491	800491	+	103.336	NA	promoter-TSS (AT5G03310.1)	-promoter-TSS (AT5G03310.1)	-785	AT5G03310.1	AT5G03310	AT5G03310						NA
35S_BBM_GFP_ChIP_peak_10049	chr3	6978472	6978472	+	103.271	NA	TTS (AT3G20015.1)	-TTS (AT3G20015.1)	1896	AT3G20015.1	AT3G20015	AT3G20015						NA
35S_BBM_GFP_ChIP_peak_14654	chr4	15003061	15003061	+	103.143	NA	promoter-TSS (AT4G30810.1)	-promoter-TSS (AT4G30810.1)	-390	AT4G30810.1	AT4G30810	AT4G30810						NA
35S_BBM_GFP_ChIP_peak_14601	chr4	14815935	14815935	+	103.115	NA	TTS (AT4G30260.1)	-TTS (AT4G30260.1)	2919	AT4G30260.1	AT4G30260	AT4G30260						NA
35S_BBM_GFP_ChIP_peak_13583	chr4	9638207	9638207	+	103.115	NA	promoter-TSS (AT4G17150.1)	-promoter-TSS (AT4G17150.1)	33	AT4G17150.1	AT4G17150	AT4G17150						NA
35S_BBM_GFP_ChIP_peak_17334	chr5	8775638	8775638	+	103.005	NA	TTS (AT5G25280.1)	-TTS (AT5G25280.1)	1846	AT5G25280.2	AT5G25280	AT5G25280						NA
35S_BBM_GFP_ChIP_peak_14352	chr4	13729245	13729245	+	102.976	NA	promoter-TSS (AT4G27450.1)	-promoter-TSS (AT4G27450.1)	-359	AT4G27450.1	AT4G27450	AT4G27450						NA
35S_BBM_GFP_ChIP_peak_15450	chr4	18331961	18331961	+	102.678	NA	TTS (AT4G39410.1)	-TTS (AT4G39410.1)	-1949	AT4G39404.1	AT4G39404	AT4G39404						NA
35S_BBM_GFP_ChIP_peak_11576	chr3	18980023	18980023	+	102.569	NA	promoter-TSS (AT3G51090.1)	-promoter-TSS (AT3G51090.1)	-20	AT3G51090.1	AT3G51090	AT3G51090						NA
35S_BBM_GFP_ChIP_peak_9139	chr3	2408601	2408601	+	102.426	NA	promoter-TSS (AT3G07550.1)	-promoter-TSS (AT3G07550.1)	-876	AT3G07550.1	AT3G07550	AT3G07550						NA
35S_BBM_GFP_ChIP_peak_14036	chr4	11997260	11997260	+	102.42	NA	promoter-TSS (AT4G22860.1)	-promoter-TSS (AT4G22860.1)	-133	AT4G22860.2	AT4G22860	AT4G22860						NA
35S_BBM_GFP_ChIP_peak_8662	chr3	205001	205001	+	102.41	NA	Intergenic	Intergenic	-2261	AT3G01513.1	AT3G01513	AT3G01513						NA
35S_BBM_GFP_ChIP_peak_9486	chr3	4202541	4202541	+	102.316	NA	TTS (AT3G13090.1)	-TTS (AT3G13090.1)	-1276	AT3G13080.2	AT3G13080	AT3G13080						NA
35S_BBM_GFP_ChIP_peak_9427	chr3	3919323	3919323	+	102.138	NA	promoter-TSS (AT3G12280.1)	-promoter-TSS (AT3G12280.1)	-153	AT3G12280.2	AT3G12280	AT3G12280						NA
35S_BBM_GFP_ChIP_peak_19381	chr5	23700585	23700585	+	102.014	NA	promoter-TSS (AT5G58650.1)	-promoter-TSS (AT5G58650.1)	-359	AT5G58650.1	AT5G58650	AT5G58650						NA
35S_BBM_GFP_ChIP_peak_13282	chr4	7652252	7652252	+	101.797	NA	promoter-TSS (AT4G13150.1)	-promoter-TSS (AT4G13150.1)	37	AT4G13150.1	AT4G13150	AT4G13150						NA
35S_BBM_GFP_ChIP_peak_11400	chr3	18193523	18193523	+	101.538	NA	TTS (AT3G49080.1)	-TTS (AT3G49080.1)	206	AT3G49070.1	AT3G49070	AT3G49070						NA
35S_BBM_GFP_ChIP_peak_8948	chr3	1515915	1515915	+	101.514	NA	Intergenic	Intergenic	-1020	AT3G05320.1	AT3G05320	AT3G05320						NA
35S_BBM_GFP_ChIP_peak_6870	chr2	11682295	11682295	+	101.486	NA	promoter-TSS (AT2G27300.1)	-promoter-TSS (AT2G27300.1)	-340	AT2G27300.1	AT2G27300	AT2G27300						NA
35S_BBM_GFP_ChIP_peak_16886	chr5	6402133	6402133	+	101.394	NA	TTS (AT5G19095.1)	-TTS (AT5G19095.1)	894	AT5G19095.1	AT5G19095	AT5G19095						NA
35S_BBM_GFP_ChIP_peak_16555	chr5	4765936	4765936	+	101.326	NA	Intergenic	Intergenic	-1198	AT5G14750.1	AT5G14750	AT5G14750						NA
35S_BBM_GFP_ChIP_peak_9618	chr3	4777437	4777437	+	101.164	NA	TTS (AT3G14320.1)	-TTS (AT3G14320.1)	908	AT3G14320.1	AT3G14320	AT3G14320						NA
35S_BBM_GFP_ChIP_peak_18483	chr5	19245634	19245634	+	101.031	NA	promoter-TSS (AT5G47440.1)	-promoter-TSS (AT5G47440.1)	-284	AT5G47440.1	AT5G47440	AT5G47440						NA
35S_BBM_GFP_ChIP_peak_2218	chr1	10492364	10492364	+	100.998	NA	intron (AT1G29951.1, intron 1 of 4)	-intron (AT1G29950.1, intron 1 of 2)	389	AT1G29951.1	AT1G29951	AT1G29951						NA
35S_BBM_GFP_ChIP_peak_14609	chr4	14841166	14841166	+	100.799	NA	promoter-TSS (AT4G30340.1)	-promoter-TSS (AT4G30340.1)	-99	AT4G30340.1	AT4G30340	AT4G30340						NA
35S_BBM_GFP_ChIP_peak_14205	chr4	12936820	12936820	+	100.64	NA	promoter-TSS (AT4G25260.1)	-promoter-TSS (AT4G25260.1)	-162	AT4G25260.1	AT4G25260	AT4G25260						NA
35S_BBM_GFP_ChIP_peak_8862	chr3	1156652	1156652	+	100.572	NA	TTS (AT3G04360.1)	-TTS (AT3G04360.1)	124	AT3G04350.1	AT3G04350	AT3G04350						NA
